,position,beta,z,gross_return,cost_drag,net_return,equity,turnover
2019-06-26,0.0,1.15382970390391,0.8249959646276062,0.0,0.0,0.0,979100.9238866162,0.0
2019-06-27,0.0,1.1549046296818446,0.1740588315571323,0.0,0.0,0.0,979100.9238866162,0.0
2019-06-28,0.0,1.155087207664788,1.5803601077672957,0.0,0.0,0.0,979100.9238866162,0.0
2019-07-01,0.0,1.1566033526596518,1.152039874411461,0.0,0.0,0.0,979100.9238866162,0.0
2019-07-02,0.0,1.1579140548773803,-0.1018884446804216,0.0,0.0,0.0,979100.9238866162,0.0
2019-07-03,0.0,1.157812739366622,-0.08635223755043307,0.0,0.0,0.0,979100.9238866162,0.0
2019-07-04,0.0,1.1577804029960588,-2.5259222323164,-0.0,0.0,-0.0,979100.9238866162,0.0
2019-07-05,1.0,1.1539958655875424,-0.30596725162390337,-0.0006286499184789257,0.0007,-0.0013286499184789256,977800.0415239118,1.0
2019-07-08,0.0,1.1535543953933445,-1.2022786570521669,-0.0,0.0007,-0.0007,977115.581494845,1.0
2019-07-09,0.0,1.1514408971310661,0.3222489306459142,0.0,0.0,0.0,977115.581494845,0.0
2019-07-10,0.0,1.1517552395134332,0.12254342029690939,0.0,0.0,0.0,977115.581494845,0.0
2019-07-11,0.0,1.1520382582060105,0.7424821620187504,0.0,0.0,0.0,977115.581494845,0.0
2019-07-12,0.0,1.152820798654124,1.3159719442287297,0.0,0.0,0.0,977115.581494845,0.0
2019-07-15,0.0,1.1539749765633476,0.09418815010037063,0.0,0.0,0.0,977115.581494845,0.0
2019-07-16,0.0,1.1540497350243397,1.899037816952162,0.0,0.0,0.0,977115.581494845,0.0
2019-07-17,0.0,1.1549118679555304,0.10583795421437028,0.0,0.0,0.0,977115.581494845,0.0
2019-07-18,0.0,1.1551261233974652,-1.2436308581190945,-0.0,0.0,-0.0,977115.581494845,0.0
2019-07-19,0.0,1.1523698948946757,-0.5230504709416945,-0.0,0.0,-0.0,977115.581494845,0.0
2019-07-22,0.0,1.1515295216146737,-0.24393673756024392,0.0,0.0,0.0,977115.581494845,0.0
2019-07-23,0.0,1.1513381902211628,0.40141850514574356,0.0,0.0,0.0,977115.581494845,0.0
2019-07-24,0.0,1.1522640003716398,-0.7363014056151124,0.0,0.0,0.0,977115.581494845,0.0
2019-07-25,0.0,1.1514831837552755,-0.22782121535754626,0.0,0.0,0.0,977115.581494845,0.0
2019-07-26,0.0,1.1511817444142352,-0.18869260523660916,0.0,0.0,0.0,977115.581494845,0.0
2019-07-29,0.0,1.1508101876466792,-0.39935640801342415,-0.0,0.0,-0.0,977115.581494845,0.0
2019-07-30,0.0,1.1501948759317315,0.6004733562667557,0.0,0.0,0.0,977115.581494845,0.0
